CATEGORY,LINK,TITLE,AUTHOR,DATE,PUBLISHED_IN
Essays,https://yalereview.org/article/josé-vadi-skateboarding-streets,More Joy and Less Cool,José Vadi,"March 1, 2022",See this issue
Folio,https://yalereview.org/article/eula-biss-ownership-folio,Ownership: An Introduction,Eula Biss,"March 1, 2022",See this issue
Essays,https://yalereview.org/article/sloan-black-shape-taliesin,The Black Shape Slumped in a Chair,Aisha Sabatini Sloan,"March 1, 2022",See this issue
Fiction,https://yalereview.org/article/nami-mun-fiction,The Hermit,Nami Mun,"March 1, 2022",See this issue
Essays,https://yalereview.org/article/cabeza-vanegas-unspeakable-pain,Unspeakable Pain,Lina María Ferreira Cabeza-Vanegas,"March 1, 2022",See this issue
Poetry,https://yalereview.org/article/david-trinidad-neighborhood-chatsworth,"An Attempt at Exhausting a Neighborhood in Chatsworth, California",David Trinidad,"February 28, 2022",See this issue
Poetry,https://yalereview.org/article/tiphanie-yanique-pleasure-ride,Invitation to a Pleasure Ride with Phillis Wheatley as Honored Guest,Tiphanie Yanique,"February 28, 2022",See this issue
Essays,https://yalereview.org/article/aminatta-forma-trauma-overuse,Who Owns Your Story?,Aminatta Forna,"February 28, 2022",See this issue
Poetry,https://yalereview.org/article/folio-new-direction-american-poetry,A New Direction in American Poetry,,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/bent-lyre,Bent Lyre,Sandra Lim,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/blood,Blood,Margaret Ross,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/ceremony,Ceremony,Margaret Ross,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/dont-let-me-down,Don’t Let Me Down,Sarah Trudgeon,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/alain,For Alain,Anaïs Duplan,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/greenish-picture,Greenish Picture,Margaret Ross,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/information-desk,Information Desk,Robyn Schiff,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/san-francisco,San Francisco,Sandra Lim,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/sestina-where-every-end-word-lyndon-johnson,Sestina Where Every End Word Is Lyndon Johnson,Sasha Debevec-McKenney,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/hell-test-seven-springs,The Hell Test (Seven Springs),Daniel Poppick,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/stronger,The Stronger,Sandra Lim,"January 1, 2020",See this issue
Poetry,https://yalereview.org/article/when-i-met-sharon-olds-she-told-me-write-poem-about-lbjs-penis,When I Met Sharon Olds She Told Me to Write A Poem About LBJ’s Penis,Sasha Debevec-McKenney,"January 1, 2020",See this issue
