CATEGORY,LINK,TITLE,AUTHOR,DATE,PUBLISHED_IN
Fiction,https://yalereview.org/article/so-long,So Long,Antonio Tabucchi,"September 1, 2020",See this issue
Fiction,https://yalereview.org/article/blessing-kali,The Blessing of Kali,Irene Muchemi-Ndiritu,"September 1, 2020",See this issue
Fiction,https://yalereview.org/article/queen-bark-and-darkness,The Queen of Bark and Darkness,Joanna Hershon,"September 1, 2020",See this issue
Pandemic Files,https://yalereview.org/article/do-you-know-alex-oreille,Do You Know Alex Oreille,Katie Kitamura,"June 1, 2020",See this issue
Fiction,https://yalereview.org/article/short-swoop-long-line,"Short Swoop, Long Line",Andrew Martin,"June 1, 2020",See this issue
Fiction,https://yalereview.org/article/introduction-works-sl,An Introduction to the Works of S.L.,Aysegül Savas,"April 1, 2020",See this issue
Fiction,https://yalereview.org/article/property,Property,David Moloney,"April 1, 2020",See this issue
Fiction,https://yalereview.org/article/hearts-our-enemies,The Hearts of Our Enemies,Dantiel W. Moniz,"April 1, 2020",See this issue
Fiction,https://yalereview.org/article/breathing-exercise,Breathing Exercise,Raven Leilani,"January 1, 2020",See this issue
Fiction,https://yalereview.org/article/husband-and-wife-during-nightly-news,Husband and Wife During the Nightly News,Idra Novey,"January 1, 2020",See this issue
Fiction,https://yalereview.org/article/save-pedestals,Save the Pedestals,Ivan Vladislavić,"January 1, 2020",See this issue
fiction,https://yalereview.org/article/i-can-see-your-house-here,I Can See Your House from Here,Jean McGarry,"July 1, 2019",See this issue
fiction,https://yalereview.org/article/man-overboard,Man Overboard,Jean McGarry,"July 1, 2019",See this issue
Fiction,https://yalereview.org/article/stalking,Stalking,John Sayles,"April 1, 2019",See this issue
Fiction,https://yalereview.org/article/silver-pearl,The Silver Pearl,Joanna Scott,"April 1, 2019",See this issue
Fiction,https://yalereview.org/article/woman-next-door,The Woman Next Door,Ha Seong-Nan,"April 1, 2019",See this issue
Fiction,https://yalereview.org/article/lufthansa,Lufthansa,Amy Kiger-Williams,"February 26, 2019",
Fiction,https://yalereview.org/article/shame-exchange,The Shame Exchange,Karen E. Bender,"January 21, 2019",
Fiction,https://yalereview.org/article/alger-le-cri,"Alger, le cri",Samir Toumi,"January 1, 2019",See this issue
Fiction,https://yalereview.org/article/mr-crime-and-punishment-and-war-and-peace,Mr. Crime and Punishment and War and Peace,Gish Jen,"January 1, 2019",See this issue
Fiction,https://yalereview.org/article/ladder,The Ladder,Sina Kian,"December 4, 2018",
Fiction,https://yalereview.org/article/narrow-cafe,The Narrow Café,Jerri Jerreat,"November 12, 2018",
Fiction,https://yalereview.org/article/self-similar,Self-Similar,J. R. Gerow,"October 29, 2018",
Fiction,https://yalereview.org/article/jj-ftw,J.J. FTW,Karen Tucker,"October 8, 2018",
Fiction,https://yalereview.org/article/anthropophagi,Anthropophagi,Leslie Epstein,"October 1, 2018",See this issue
Fiction,https://yalereview.org/article/pilots-instructions,The Pilot’s Instructions,Karen E. Bender,"October 1, 2018",See this issue
Fiction,https://yalereview.org/article/eternal-return,Eternal Return,Sergio Troncoso,"July 1, 2018",See this issue
Fiction,https://yalereview.org/article/four-japanese-stories,Four Japanese Stories,Ryūnosuke Akutagawa,"July 1, 2018",See this issue
Fiction,https://yalereview.org/article/plant-contradictions,Plant of Contradictions,Tiphanie Yanique,"July 1, 2018",See this issue
Fiction,https://yalereview.org/article/pretty-things-excerpt,Pretty Things,Virginie Despentes,"July 1, 2018",See this issue
Fiction,https://yalereview.org/article/continental,Continental,Terese Svoboda,"April 1, 2018",See this issue
Fiction,https://yalereview.org/article/love-and-money,Love and Money,Joan Silber,"April 1, 2018",See this issue
Fiction,https://yalereview.org/article/slow-heart,Slow the Heart,Kate Walbert,"April 1, 2018",See this issue
Fiction,https://yalereview.org/article/fortune-teller,The Fortune Teller,Ellen Wilbur,"April 1, 2018",See this issue
Fiction,https://yalereview.org/article/love-3-excerpts,Love (3 Excerpts),Hanne Ørstavik,"November 1, 2017",See this issue
Fiction,https://yalereview.org/article/artists-model,The Artist’s Model,Mary Gordon,"November 1, 2017",See this issue
Fiction,https://yalereview.org/article/dina-nayeri-pinch-story,The Pinch,Dina Nayeri,"November 1, 2017",See this issue
Fiction,https://yalereview.org/article/owl-eyes,Owl Eyes,Joyce Carol Oates,"July 1, 2016",See this issue
From the Archives,https://yalereview.org/article/haruki-murakami-the-mirror,The Mirror,Haruki Murakami,"July 1, 2006",See this issue
Fiction,https://yalereview.org/article/roast-suckling-pig,Roast Suckling Pig,Donald Hall,"April 1, 2002",See this issue
Fiction,https://yalereview.org/article/words,Words,Joyce Carol Oates,"April 1, 2000",See this issue
From the Archives,https://yalereview.org/article/robert-pinsky-clara-benedict,Clara and Benedict,Robert Pinsky,"January 1, 1984",See this issue
From the Archives,https://yalereview.org/article/cormac-mccarthy-story-bounty,Bounty,Cormac McCarthy,"March 1, 1965",See this issue
