CATEGORY,LINK,TITLE,AUTHOR,DATE,PUBLISHED_IN_PRINT
Poem of the Week,https://yalereview.org/article/erica-lewis-poem-respectfully-i-say,respectfully i say to thee,erica lewis,"February 16, 2022",False
Poem of the Week,https://yalereview.org/article/peterson-poem-fog,Fog,Katie Peterson,"February 9, 2022",False
Poem of the Week,https://yalereview.org/article/konchan-poem-last-supper,Last Supper,Virginia Konchan,"February 2, 2022",False
Pandemic Files,https://yalereview.org/article/march-11,March 11,Alicia Christoff,"March 27, 2020",False
From the Archives,https://yalereview.org/article/koestenbaum-sheherazade,Shéhérazade,Wayne Koestenbaum,"December 1, 1987",False
Poem of the Week,https://yalereview.org/article/over-and-above,Over and Above,Jennifer Grotz,"February 24, 2021",False
From the Archives,https://yalereview.org/article/howard-nemerov-christmas-card-halleys-comet,A Christmas Card of Halley's Comet,Howard Nemerov,"December 1, 1986",False
Poem of the Week,https://yalereview.org/article/turovskaya-from-enter-ghost,"From ""Enter Ghost""",Genya Turovskaya,"November 2, 2022",False
Poem of the Week,https://yalereview.org/article/jorie-graham-dawn-2040,Dawn 2040,Jorie Graham,"October 26, 2022",False
Poem of the Week,https://yalereview.org/article/christopher-kondrich-threat-constant,The Threat of Being Cut Is Constant,Christopher Kondrich,"October 19, 2022",False
Poem of the Week,https://yalereview.org/article/virginia-konchan-babylon,Babylon,Virginia Konchan,"October 12, 2022",False
Poem of the Week,https://yalereview.org/article/gullette-mid-century-modern,Mid-Century Modern,Christian Gullette,"October 5, 2022",False
Poem of the Week,https://yalereview.org/article/lena-moses-schmitt-awe,Awe,Lena Moses-Schmitt,"September 28, 2022",False
Poem of the Week,https://yalereview.org/article/emily-fragos-bluebird-motel,The Bluebird Motel,Emily Fragos,"September 21, 2022",False
Poem of the Week,https://yalereview.org/article/bryan-byrdlong-tourist,The Tourist,Bryan Byrdlong,"September 14, 2022",False
Poem of the Week,https://yalereview.org/article/jennifer-s-cheng-emigrant-radiolaria,Emigrant Radiolaria,Jennifer S. Cheng,"January 26, 2022",False
Poem of the Week,https://yalereview.org/article/jameson-fitzpatrick-mirror,Mirror,Jameson Fitzpatrick,"September 7, 2022",False
Poem of the Week,https://yalereview.org/article/leslie-sainz-sean,Sean,Leslie Sainz,"July 27, 2022",False
Poem of the Week,https://yalereview.org/article/lee-upton-reprieve,The Reprieve,Lee Upton,"July 20, 2022",False
Poetry,https://yalereview.org/article/golden-poem-reprise,& WHEN THEY COME FOR ME (REPRISE),Golden,"July 11, 2022",False
Poetry,https://yalereview.org/article/james-ars-diaspora,Ars Diaspora with Drinking Gourd,Omotara James,"July 11, 2022",False
Poem of the Week,https://yalereview.org/article/cecily-parks-clipping,Clipping,Cecily Parks,"July 6, 2022",False
Poem of the Week,https://yalereview.org/article/mccrae-daughter-lonely-quarantine,My Twelve-Year-Old Daughter Tells Me She Feels Lonely in Quarantine,Shane McCrae,"June 22, 2022",False
Poem of the Week,https://yalereview.org/article/edgar-kunz-tuning,Tuning,Edgar Kunz,"June 15, 2022",False
Poem of the Week,https://yalereview.org/article/cj-evans-god-enough,We think we’re god enough to destroy it,CJ Evans,"June 8, 2022",False
Poem of the Week,https://yalereview.org/article/flower-conroy-splice-box-accompaniment,Splice Box & Accompaniment,Flower Conroy,"August 3, 2022",False
Poem of the Week,https://yalereview.org/article/izzy-casey-western,Western,Izzy Casey,"January 19, 2022",False
Poem of the Week,https://yalereview.org/article/allyson-paty-replica,Replica,Allyson Paty,"January 12, 2022",False
Poem of the Week,https://yalereview.org/article/adrienne-chung-perfect,Perfect,Adrienne Chung,"December 22, 2021",False
Pandemic Files,https://yalereview.org/article/the-hour-between-dog-and-wolf,The Hour Between Dog and Wolf,Monica Ferrell,"June 16, 2020",False
Pandemic Files,https://yalereview.org/article/two-poems-monica-ferrell-strange-hours-city,Provision,Monica Ferrell,"June 16, 2020",False
Pandemic Files,https://yalereview.org/article/prelude,Prelude,Rowan Ricardo Phillips,"July 9, 2020",False
,https://yalereview.org/article/travel-leisure,From “Travel & Leisure”,Stanley Plumly,"August 14, 2020",False
Poem of the Week,https://yalereview.org/article/for-the-man-on-his-knees-at-the-eagle,For the Man on His Knees at The Eagle,Francisco Márquez,"June 23, 2021",False
Poem of the Week,https://yalereview.org/article/playa-vista,PLAYA VISTA,Ari Banias,"June 16, 2021",False
Poem of the Week,https://yalereview.org/article/all-politics-is-local,All Politics Is Local,Dujie Tahat,"June 9, 2021",False
Poem of the Week,https://yalereview.org/article/asmr-sleepcast-the-night-after-being-released-from-the-rural-county-jail,ASMR Sleepcast: The Night After Being Released from the Rural County Jail,Faylita Hicks,"June 2, 2021",False
Poem of the Week,https://yalereview.org/article/the-pain-of-others,The Pain of Others,Hannah Aizenman,"June 30, 2021",False
Poem of the Week,https://yalereview.org/article/there-is-an-intimacy,There is An Intimacy,Melissa Lozada-Oliva,"May 26, 2021",False
Poem of the Week,https://yalereview.org/article/math-campers-0,The Math Campers,Dan Chiasson,"September 17, 2020",False
,https://yalereview.org/article/appetite,Appetite,Alexandria Hall,"October 5, 2020",False
,https://yalereview.org/article/poetry-louise-gluck,The Poetry of Louise Glück,Louise Glück,"October 10, 2020",False
Poem of the Week,https://yalereview.org/article/tiny-asthmatic-ghost,Tiny Asthmatic Ghost,Adam Scheffler,"November 19, 2020",False
Poem of the Week,https://yalereview.org/article/horns-moses,The Horns of Moses,Nicholas Friedman,"November 24, 2020",False
Poem of the Week,https://yalereview.org/article/what-i-want,What I Want,Kaveh Akbar,"May 19, 2021",False
Poem of the Week,https://yalereview.org/article/notes-my-funeral,Notes for My Funeral,Alex Dimitrov,"February 9, 2021",False
Poem of the Week,https://yalereview.org/article/geese,Geese,Robert Travers,"March 3, 2021",False
Poem of the Week,https://yalereview.org/article/whole,(W)HOLE,Chet’la Sebree,"May 19, 2021",False
Poem of the Week,https://yalereview.org/article/diane-seuss-against-poetry,Against Poetry,Diane Seuss,"November 9, 2022",False
Poem of the Week,https://yalereview.org/article/axolotl,Axolotl,Amy Roa,"July 7, 2021",False
Poem of the Week,https://yalereview.org/article/shoe-box,Shoe Box,Carol Moldaw,"July 21, 2021",False
From the Editors,https://yalereview.org/article/most-read-poems-2021,Our Most-Read Poems of 2021,,"December 21, 2021",False
Poem of the Week,https://yalereview.org/article/in-1987,In 1987,Strummer Hoffston,"December 15, 2021",False
Poem of the Week,https://yalereview.org/article/tachistoscope,Tachistoscope,Madeleine Mori,"December 8, 2021",False
Poem of the Week,https://yalereview.org/article/december-1,DECEMBER 1,Lindsay Turner,"December 1, 2021",False
Poem of the Week,https://yalereview.org/article/elegy-for-oneida-creek,Elegy for Oneida Creek,Emma Aylor,"November 24, 2021",False
Poem of the Week,https://yalereview.org/article/ringmaster,Ringmaster,Abigail Frankfurt,"November 17, 2021",False
Poem of the Week,https://yalereview.org/article/plum-madrigal,Plum Madrigal,Lisa Russ Spaar,"November 10, 2021",False
Poem of the Week,https://yalereview.org/article/children-of-lions,Children of Lions,Eugenia Leigh,"November 3, 2021",False
Poem of the Week,https://yalereview.org/article/dunes,Dunes,Jen Levitt,"July 14, 2021",False
Poem of the Week,https://yalereview.org/article/pale-evening-dun,Pale Evening Dun,Rob Schlegel,"October 27, 2021",False
Poem of the Week,https://yalereview.org/article/the-eye-theater-closes-its-doors-and-opens-them-again,"The Eye Theater Closes Its Doors, and Opens Them Again",Sara Elkamel,"October 13, 2021",False
Poem of the Week,https://yalereview.org/article/selection,Selection,Jeff Dolven,"September 29, 2021",False
Poem of the Week,https://yalereview.org/article/controlled-burn,Controlled Burn,Laura Cresté,"September 22, 2021",False
Poetry,https://yalereview.org/article/hunting-strategy,Hunting Strategy,Henry Walters,"March 22, 2018",False
Poem of the Week,https://yalereview.org/article/detour-around-a-garden,Detour Around a Garden,Suphil Lee Park,"September 15, 2021",False
Poem of the Week,https://yalereview.org/article/flies,Flies,Derrick Austin,"September 8, 2021",False
Poem of the Week,https://yalereview.org/article/long-distance,This Long Distance,Jesse Nathan,"September 1, 2021",False
Poem of the Week,https://yalereview.org/article/ppe,PPE,Angelo Mao,"July 28, 2021",False
Poem of the Week,https://yalereview.org/article/teletherapy,Teletherapy,Brian Tierney,"October 20, 2021",False
Poem of the Week,https://yalereview.org/article/baldino-golden-shower,Golden Shower,Noah Baldino,"November 16, 2022",False
Poem of the Week,https://yalereview.org/article/margaret-ray-hail-mary,Hail Mary,Margaret Ray,"June 1, 2022",False
Poem of the Week,https://yalereview.org/article/flies-1,Flies,Maureen N. McLane,"November 30, 2022",False
Poem of the Week,https://yalereview.org/article/kim-addonizio-swoon,Swoon,Kim Addonizio,"May 3, 2023",False
Poem of the Week,https://yalereview.org/article/maya-c-popa-memento-mori,Memento Mori,Maya C. Popa,"April 26, 2023",False
From the Archives,https://yalereview.org/article/marianne-moores-early-poems,Marianne Moore's Early Poems,Maggie Millner,"April 19, 2023",False
Poem of the Week,https://yalereview.org/article/emily-lee-luan-shes-the-only,She’s the only one who hears me sing,Emily Lee Luan,"April 19, 2023",False
Poem of the Week,https://yalereview.org/article/sam-sax-true-ruminants,on the true ruminants,sam sax,"April 12, 2023",False
Poem of the Week,https://yalereview.org/article/cynthia-cruz-after-dream,After the Dream Came the Habit,Cynthia Cruz,"April 5, 2023",False
Poem of the Week,https://yalereview.org/article/kyle-churney-this-is-persimmons,This Is Persimmons,Kyle Churney,"March 29, 2023",False
Poem of the Week,https://yalereview.org/article/jeff-dolven-analysis,Analysis,Jeff Dolven,"May 10, 2023",False
Poetry,https://yalereview.org/article/clues-batch-2,From Clues—Batch 2,Henry Walters,"November 6, 2018",False
Poetry,https://yalereview.org/article/clues-batch-1,From Clues —Batch 1,Henry Walters,"October 22, 2018",False
Poetry,https://yalereview.org/article/how-speak-materialist,How to Speak to a Materialist,Henry Walters,"October 1, 2018",False
Poem of the Week,https://yalereview.org/article/katie-farris-ode-to-money,"Ode to Money, or Patient Appealing Health Insurance for Denial of Coverage",Katie Farris,"March 22, 2023",False
Poem of the Week,https://yalereview.org/article/mary-alice-daniel-one-hell,One Hell,Mary-Alice Daniel,"March 15, 2023",False
Poem of the Week,https://yalereview.org/article/ariana-benson-still-life,Still Life with Unidentified Flora,Ariana Benson,"March 8, 2023",False
Poem of the Week,https://yalereview.org/article/sarah-ghazal-ali-origin-species,The Origin of Species,Sarah Ghazal Ali,"March 1, 2023",False
Poem of the Week,https://yalereview.org/article/kwame-opoku-duku-divine-hours,Divine Hours,Kwame Opoku-Duku,"February 22, 2023",False
Poetry,https://yalereview.org/article/pi-enumerated-twenty-eighth-digit,Pi Enumerated to the Twenty-eighth Digit,Henry Walters,"October 26, 2018",False
Poem of the Week,https://yalereview.org/article/tracy-fuad-worm,Worm,Tracy Fuad,"February 15, 2023",False
Poem of the Week,https://yalereview.org/article/jesse-nathan-dames-rocket,Dame's Rocket,Jesse Nathan,"May 17, 2023",False
Poem of the Week,https://yalereview.org/article/mona-kareem-the-return,The Return,Mona Kareem,"May 31, 2023",False
Poem of the Week,https://yalereview.org/article/paula-bohince-the-let-down,The Let-Down,Paula Bohince,"September 27, 2023",False
Poem of the Week,https://yalereview.org/article/laura-kolbe-the-scarecrow,The Scarecrow,Laura Kolbe,"September 20, 2023",False
From the Archives,https://yalereview.org/article/eavan-boland-woman-painted-leaf,A Woman Painted on a Leaf,Eavan Boland,,False
Poetry,https://yalereview.org/article/cyclewali,Cyclewali,Naazneen Diwan,"March 25, 2019",False
Poem of the Week,https://yalereview.org/article/donald-platt-essential-tremor,Essential Tremor,Donald Platt,"September 13, 2023",False
Poem of the Week,https://yalereview.org/article/jessica-abughattas-chore-dress,Chore Dress,Jessica Abughattas,"July 26, 2023",False
Poem of the Week,https://yalereview.org/article/rachel-abramowitz-book-attic,Book of Attic,Rachel Abramowitz,"July 19, 2023",False
Poem of the Week,https://yalereview.org/article/calvin-walds-ok-here-goes-nothing,"Ok, Here Goes Nothing",Calvin Walds,"November 23, 2022",False
Poem of the Week,https://yalereview.org/article/sarah-edwards-fable,Fable,Sarah Edwards,"July 12, 2023",False
Poem of the Week,https://yalereview.org/article/mark-jarman-dont-go-there,Don't Go There,Mark Jarman,"June 28, 2023",False
Poem of the Week,https://yalereview.org/article/caravaggios-narcissus,Caravaggio’s Narcissus,Callie Siskel,"June 21, 2023",False
Poem of the Week,https://yalereview.org/article/cyree-jarelle-johnson-requiem,Requiem,Cyrée Jarelle Johnson,"June 14, 2023",False
Poetry,https://yalereview.org/article/sacred-wash,The Sacred Wash,Jerrice J. Baptiste,"April 29, 2019",False
Poetry,https://yalereview.org/article/clues-batch-4,From Clues – Batch 4,Henry Walters,"December 10, 2018",False
Poetry,https://yalereview.org/article/clues-batch-3,From Clues – Batch 3,Henry Walters,"November 19, 2018",False
Poem of the Week,https://yalereview.org/article/ananya-kanai-shah-abstract-art,Abstract Art and Other Concerns,Ananya Kanai Shah,"June 7, 2023",False
Poem of the Week,https://yalereview.org/article/rodrigo-toscano-the-revolution,The Revolution,Rodrigo Toscano,"July 5, 2023",False
Poem of the Week,https://yalereview.org/article/jill-bialosky-late-august-garden,Late August Garden,Jill Bialosky,"February 8, 2023",False
Poem of the Week,https://yalereview.org/article/airea-d-matthews-goodnight-gibbous-moon,"Goodnight, Gibbous Moon: A Wake-up Story",Airea D. Matthews,"May 24, 2023",False
Poem of the Week,https://yalereview.org/article/i-dreamt-you,I dreamt of you,Iman Mersal,"February 17, 2021",False
Poem of the Week,https://yalereview.org/article/cavallaro-reading-hermione-lee,Reading Hermione Lee,Brittany Cavallaro,"December 21, 2022",False
Poem of the Week,https://yalereview.org/article/nell-wright-trojsky-zamek,Trojský Zámek,Nell Wright,"December 14, 2022",False
Poem of the Week,https://yalereview.org/article/hanson-nature-new-year,Nature in the New Year,Julie Hanson,"January 18, 2023",False
Poem of the Week,https://yalereview.org/article/janice-harrington-prairie-school,Prairie School,Janice N. Harrington,"December 7, 2022",False
Poem of the Week,https://yalereview.org/article/warren-strange-land,In a Strange Land,Rosanna Warren,"January 11, 2023",False
Poem of the Week,https://yalereview.org/article/bouquet-turner-without,Without,Stéphane Bouquet,"January 25, 2023",False
Poetry,https://yalereview.org/article/baby-octopus,The Baby Octopus,Rainie Oet,"September 10, 2018",False
Poetry,https://yalereview.org/article/notes-birth-year-worlds-leave-us,Notes from the Birth Year: On Worlds That Leave Us,Mia Ayumi Malhotra,"August 20, 2018",False
Poetry,https://yalereview.org/article/notes-birth-year-weaning,Notes from the Birth Year: On Weaning,Mia Ayumi Malhotra,"August 6, 2018",False
Poetry,https://yalereview.org/article/notes-birth-year-mind-and-memory,Notes from the Birth Year: On Mind and Memory,Mia Ayumi Malhotra,"July 23, 2018",False
Poem of the Week,https://yalereview.org/article/aguilar-la-koreatown-2016,"L.A. Koreatown, 2016",Alfredo Aguilar,"February 1, 2023",False
Poetry,https://yalereview.org/article/swing-shift-ruckus,swing-shift ruckus,Kathleen Winter,"November 1, 2017",True
Poetry,https://yalereview.org/article/hurry,In a Hurry,Catherine Staples,"January 1, 2019",True
Poetry,https://yalereview.org/article/coming-age,The Coming of Age,Henry Sloss,"November 1, 2017",True
Poetry,https://yalereview.org/article/marvel-it,The Marvel of It Is,Henry Walters,"November 1, 2017",True
Poetry,https://yalereview.org/article/middle-movie,Middle of the Movie,Andrew Saviano,"January 1, 2019",True
Poetry,https://yalereview.org/article/verklarte-nacht,Verklärte Nacht,Bruce Bond,"October 1, 2018",True
Poetry,https://yalereview.org/article/sandy-hook-fire,The Sandy Hook Fire,Henry Hart,"October 1, 2018",True
Poetry,https://yalereview.org/article/something-you-left-me,Something You Left to Me,Owen McLeod,"November 1, 2017",True
Poetry,https://yalereview.org/article/old-country,The Old Country,Vona Groarke,"October 1, 2018",True
Poetry,https://yalereview.org/article/cold-heaven,Cold Heaven,Elisabeth Murawski,"July 1, 2018",True
Poetry,https://yalereview.org/article/perspective,Perspective,Carolie Parker,"October 1, 2018",True
Poetry,https://yalereview.org/article/atrazine,On Atrazine,Zoë Hitzig,"October 1, 2018",True
Poetry,https://yalereview.org/article/there,There,Rush Rankin,"November 1, 2017",True
Poetry,https://yalereview.org/article/current,Current,Susan Barba,"July 1, 2018",True
Poetry,https://yalereview.org/article/nick,Nick,Natania Rosenfeld,"January 1, 2019",True
Poetry,https://yalereview.org/article/sundays,On Sundays,Willie Perdomo,"January 1, 2019",True
Poetry,https://yalereview.org/article/roundabout,Roundabout,Chad Davidson,"November 1, 2017",True
Poetry,https://yalereview.org/article/quadratic,Quadratic,Steve Barbaro,"November 1, 2017",True
Poetry,https://yalereview.org/article/physics-breeze,Physics of the Breeze,David Baker,"November 1, 2017",True
Poetry,https://yalereview.org/article/being-told-you-must-learn-pray,On Being Told: You Must Learn to Pray,John Sibley Williams,"November 1, 2017",True
Poetry,https://yalereview.org/article/being-told-you-must-learn-love-violence,On Being Told: You Must Learn to Love the Violence,John Sibley Williams,"November 1, 2017",True
Poetry,https://yalereview.org/article/ode-inheritance,Ode on Inheritance,Kate Partridge,"November 1, 2017",True
Poetry,https://yalereview.org/article/proxy-means,Proxy Means,Zoë Hitzig,"October 1, 2018",True
Poetry,https://yalereview.org/article/three-sonnets,Three Sonnets,Robert Thomas,"November 1, 2017",True
Poetry,https://yalereview.org/article/kay-ryan-dynamic-scaling,Dynamic Scaling,Kay Ryan,"July 1, 2015",True
From the Archives,https://yalereview.org/article/max-ritvo-living-it-up,Living It Up,Max Ritvo,"April 1, 2016",True
Poetry,https://yalereview.org/article/cynthia-zarin-electric-light,Electric Light,Cynthia Zarin,"July 1, 2010",True
Poetry,https://yalereview.org/article/three-sarcophagi,Three Sarcophagi,Karl Kirchwey,"April 1, 2019",True
Poetry,https://yalereview.org/article/my-daughter,To My Daughter,Peter Cooley,"April 1, 2019",True
Poetry,https://yalereview.org/article/are-right-fit,“As Are Right Fit”,Benjamin S. Grossberg,"April 1, 2019",True
Poetry,https://yalereview.org/article/longenbach-april-2003,April 2003,James Longenbach,"September 1, 2010",True
Poetry,https://yalereview.org/article/after-seeing-irish-modern-dance-theatres-lear,After Seeing the Irish Modern Dance Theatre’s Lear,Catherine Staples,"January 1, 2019",True
Poetry,https://yalereview.org/article/wasps,Wasps,Louise Glück,"October 1, 2011",True
Poetry,https://yalereview.org/article/alex-dimitrov-bloodletting,Bloodletting,Alex Dimitrov,"January 1, 2012",True
Poetry,https://yalereview.org/article/love-poem,Love Poem,Cecily Parks,"April 1, 2013",True
Poetry,https://yalereview.org/article/love-poem-ars-poetica,Love Poem as Ars Poetica,Erica McAlpine,"July 1, 2013",True
Poetry,https://yalereview.org/article/cynthia-zarin-metaphysicks-poem,Metaphysicks,Cynthia Zarin,"July 1, 2016",True
Poetry,https://yalereview.org/article/for-long-to-hold,For Long to Hold,Carl Phillips,"April 1, 2014",True
From the Archives,https://yalereview.org/article/pleasure-palace,Pleasure Palace,Christine Kwon,"January 1, 2015",True
Poetry,https://yalereview.org/article/far-you-know,As Far As You Know,A. F. Moritz,"January 1, 2019",True
Poetry,https://yalereview.org/article/ballet-and-sawhorse,Ballet and Sawhorse,Elizabeth Smither,"January 1, 2019",True
Poetry,https://yalereview.org/article/beret,Beret,Natania Rosenfeld,"January 1, 2019",True
Poetry,https://yalereview.org/article/california-christmas,California Christmas,Noah Warren,"January 1, 2019",True
Poetry,https://yalereview.org/article/hurricane,Hurricane,Catherine Staples,"January 1, 2019",True
Poetry,https://yalereview.org/article/my-sweet-accompanist,My Sweet Accompanist,Li-Young Lee,"November 1, 2017",True
Poetry,https://yalereview.org/article/variations-accompaniment-cloud,Variations to the Accompaniment of a Cloud,W. S. Merwin,"January 1, 2016",True
Poetry,https://yalereview.org/article/here-together,Here Together,W. S. Merwin,"January 1, 2016",True
Poetry,https://yalereview.org/article/merwin-december-morning,December Morning,W. S. Merwin,"January 1, 2016",True
Poetry,https://yalereview.org/article/animal-kingdom,Animal Kingdom,Amy Roa,"January 1, 2019",True
Poetry,https://yalereview.org/article/cottage,In the cottage,Kathleen Winter,"November 1, 2017",True
Poetry,https://yalereview.org/article/watch,Watch,Elisabeth Murawski,"July 1, 2018",True
Poetry,https://yalereview.org/article/crime-scene,Crime Scene,Henry Walters,"November 1, 2017",True
Poetry,https://yalereview.org/article/jar-song,Jar Song,Don Bogen,"October 1, 2018",True
Poetry,https://yalereview.org/article/invitation,Invitation,Hailey Leithauser,"October 1, 2018",True
Poetry,https://yalereview.org/article/margaritas,Margaritas,Knute Skinner,"April 1, 2018",True
Poetry,https://yalereview.org/article/limitless-again,Limitless Again,Aaron Fagan,"April 1, 2018",True
Poetry,https://yalereview.org/article/julia-hungry,Julia Hungry,Hannah Louise Poston,"April 1, 2018",True
Poetry,https://yalereview.org/article/hearse,Hearse,Martha Zweig,"April 1, 2018",True
Poetry,https://yalereview.org/article/hardcore-innocence-hangzhou-winter-2015,"Hardcore Innocence in Hangzhou, Winter 2015",Julian Gewirtz,"April 1, 2018",True
Poetry,https://yalereview.org/article/fl-50s,FL 50’s,Rick McKenzie,"April 1, 2018",True
,https://yalereview.org/article/first-crocuses,First Crocuses,Donald Platt,"April 1, 2018",True
Poetry,https://yalereview.org/article/against-anxiety,Against Anxiety,Vona Groarke,"October 1, 2018",True
Poetry,https://yalereview.org/article/against-pessimism,Against Pessimism,Vona Groarke,"October 1, 2018",True
Poetry,https://yalereview.org/article/light-steps,Light Steps,Jeredith Merrin,"October 1, 2018",True
Poetry,https://yalereview.org/article/albuquerque-aubade,Albuquerque Aubade,Randy Blasing,"October 1, 2018",True
Poetry,https://yalereview.org/article/dove-song,Dove Song,Hailey Leithauser,"October 1, 2018",True
Poetry,https://yalereview.org/article/hasty-pudding,Hasty Pudding,Stanley Moss,"October 1, 2018",True
Poetry,https://yalereview.org/article/each-morning,Each Morning,Andy Eaton,"April 1, 2018",True
Poetry,https://yalereview.org/article/light-marsh-grass,The Light in the Marsh Grass,Jeffrey Harrison,"July 1, 2018",True
Poetry,https://yalereview.org/article/staircase,The Staircase,Christina Pugh,"July 1, 2018",True
Poetry,https://yalereview.org/article/way-you-look-tonight,The Way You Look Tonight,Peter Cameron,"July 1, 2018",True
Poetry,https://yalereview.org/article/darklight,Darklight,Rosanna Warren,"April 1, 2018",True
Poetry,https://yalereview.org/article/bottom,Bottom,Martha Zweig,"April 1, 2018",True
Poetry,https://yalereview.org/article/embalmers,To the Embalmers,G. C. Waldrep,"July 1, 2018",True
Poetry,https://yalereview.org/article/avoiding-news-along-coast,Avoiding News Along the Coast,Andy Eaton,"April 1, 2018",True
Poetry,https://yalereview.org/article/wide-margin-love-poem,Wide Margin Love Poem,Susan Barba,"July 1, 2018",True
Poetry,https://yalereview.org/article/boats,Boats,Hailey Leithauser,"October 1, 2018",True
Poetry,https://yalereview.org/article/nostalgia,Nostalgia,James Arthur,"October 1, 2018",True
Poetry,https://yalereview.org/article/completion-shadows,The Completion of Shadows,G. C. Waldrep,"July 1, 2018",True
Poetry,https://yalereview.org/article/still-life-mouth-vistula,"Still Life, Mouth of the Vistula",Daniel Bourne,"July 1, 2018",True
Poetry,https://yalereview.org/article/concave-decades,Concave Decades,Steve Barbaro,"November 1, 2017",True
Poetry,https://yalereview.org/article/unconscious-ode,Unconscious Ode,Ann Keniston,"July 1, 2018",True
Poetry,https://yalereview.org/article/between,Between,Shane McCrae,"November 1, 2017",True
Poetry,https://yalereview.org/article/all-we-are-not,All We Are Not,Geri Doran,"November 1, 2017",True
Poetry,https://yalereview.org/article/portrait-my-father-seven-maps,A Portrait of My Father in Seven Maps,David Baker,"November 1, 2017",True
,https://yalereview.org/article/night-swimming,Night Swimming,George Witte,"January 1, 2018",True
Poetry,https://yalereview.org/article/nest-winter,The Nest in Winter,Kimiko Hahn,"January 1, 2019",True
Poetry,https://yalereview.org/article/two-views-home,Two Views of Home,Catherine Stearns,"April 1, 2018",True
Poetry,https://yalereview.org/article/point,The Point,Rosanna Warren,"April 1, 2018",True
,https://yalereview.org/article/shakespeares-head,Shakespeare’s Head,Joseph Harrison,"April 1, 2018",True
Poetry,https://yalereview.org/article/unbudgably-yours,Unbudgably Yours,Samuel Hazo,"January 1, 2019",True
Poetry,https://yalereview.org/article/verkeerdekraal,Verkeerdekraal,C. J. Driver,"January 1, 2019",True
Poetry,https://yalereview.org/article/what-feeds-want,What Feeds on Want,John Rybicki,"January 1, 2019",True
Poetry,https://yalereview.org/article/moon-has-set,“The Moon Has Set”,John Kinsella,"January 1, 2019",True
Poetry,https://yalereview.org/article/echo-lake,Echo Lake,Nicholas Friedman,"July 1, 2018",True
Poetry,https://yalereview.org/article/flirt,Flirt,Christina Pugh,"July 1, 2018",True
Poetry,https://yalereview.org/article/his-shirt,His Shirt,John Skoyles,"July 1, 2018",True
Poetry,https://yalereview.org/article/living-room,Living Room,Arthur Vogelsang,"July 1, 2018",True
Poetry,https://yalereview.org/article/mansplaining-oracle,Mansplaining Oracle,Caki Wilkinson,"July 1, 2018",True
Poetry,https://yalereview.org/article/poor-relatives,Poor Relatives,Robert Morgan,"April 1, 2018",True
Poetry,https://yalereview.org/article/peony,Peony,Hannah Louise Poston,"April 1, 2018",True
Poetry,https://yalereview.org/article/turning-ninety,On Turning Ninety,Edmund Keeley,"July 1, 2018",True
Poetry,https://yalereview.org/article/moronis-tailor,Moroni’s Tailor,Phillis Levin,"April 1, 2018",True
Poetry,https://yalereview.org/article/prospects-palisades,Prospects from the Palisades,,"July 1, 2018",True
Poetry,https://yalereview.org/article/self-driving,Self-Driving,Laura Marris,"July 1, 2018",True
Poetry,https://yalereview.org/article/dog,For a Dog,Ryan Wilson,"November 1, 2017",True
Poetry,https://yalereview.org/article/breakup-starfish-brasserie,Breakup at the Starfish Brasserie,Owen McLeod,"November 1, 2017",True
